county,state_name,Location,lat,lng,population
Isabella,Michigan,"Isabella, Michigan",43.6406,-84.8468,70688
Portage,Wisconsin,"Portage, Wisconsin",44.476,-89.5014,70632
Franklin,Massachusetts,"Franklin, Massachusetts",42.5831,-72.5918,70577
Greenwood,South Carolina,"Greenwood, South Carolina",34.1538,-82.1259,70411
Robertson,Tennessee,"Robertson, Tennessee",36.5255,-86.8706,70280
Lea,New Mexico,"Lea, New Mexico",32.7921,-103.4125,70277
Grand Forks,North Dakota,"Grand Forks, North Dakota",47.9219,-97.4569,70224
Columbia,Florida,"Columbia, Florida",30.2242,-82.6215,69968
Morgan,Indiana,"Morgan, Indiana",39.4816,-86.4462,69922
Troup,Georgia,"Troup, Georgia",33.0335,-85.0284,69919
Fauquier,Virginia,"Fauquier, Virginia",38.7386,-77.8092,69728
Jefferson,Arkansas,"Jefferson, Arkansas",34.2688,-91.9315,69282
Carteret,North Carolina,"Carteret, North Carolina",34.8357,-76.6589,69070
Walker,Georgia,"Walker, Georgia",34.7356,-85.301,69039
Greene,Tennessee,"Greene, Tennessee",36.1753,-82.8458,68834
Ward,North Dakota,"Ward, North Dakota",48.2217,-101.5418,68812
Muskogee,Oklahoma,"Muskogee, Oklahoma",35.6161,-95.3795,68736
Wilkes,North Carolina,"Wilkes, North Carolina",36.2063,-81.1634,68469
Jones,Mississippi,"Jones, Mississippi",31.6226,-89.1688,68352
Shiawassee,Michigan,"Shiawassee, Michigan",42.9537,-84.1467,68340
Walton,Florida,"Walton, Florida",30.6436,-86.1697,68262
Belmont,Ohio,"Belmont, Ohio",40.0158,-80.9885,68024
York,Virginia,"York, Virginia",37.2432,-76.5636,67982
Harrison,West Virginia,"Harrison, West Virginia",39.2835,-80.3799,67908
Broomfield,Colorado,"Broomfield, Colorado",39.9541,-105.0527,67886
Jackson,Georgia,"Jackson, Georgia",34.1339,-83.5664,67885
Aroostook,Maine,"Aroostook, Maine",46.6589,-68.5989,67809
Lewis and Clark,Montana,"Lewis and Clark, Montana",47.1224,-112.3904,67805
Tooele,Utah,"Tooele, Utah",40.4488,-113.1311,67397
Williamson,Illinois,"Williamson, Illinois",37.7303,-88.9299,67102
Darlington,South Carolina,"Darlington, South Carolina",34.3325,-79.9577,67027
San Patricio,Texas,"San Patricio, Texas",28.0091,-97.5186,67008
Klamath,Oregon,"Klamath, Oregon",42.6864,-121.6502,66921
Laurens,South Carolina,"Laurens, South Carolina",34.4836,-82.0059,66846
Blue Earth,Minnesota,"Blue Earth, Minnesota",44.0346,-94.067,66795
Catoosa,Georgia,"Catoosa, Georgia",34.9036,-85.1382,66700
Butler,Kansas,"Butler, Kansas",37.7812,-96.839,66698
Marquette,Michigan,"Marquette, Michigan",46.4314,-87.6416,66686
St. Francois,Missouri,"St. Francois, Missouri",37.8102,-90.4722,66643
Rutherford,North Carolina,"Rutherford, North Carolina",35.4026,-81.9198,66599
Harrison,Texas,"Harrison, Texas",32.5481,-94.3715,66580
Grant,Indiana,"Grant, Indiana",40.5158,-85.6547,66452
Jefferson,Ohio,"Jefferson, Ohio",40.385,-80.761,66371
Franklin,North Carolina,"Franklin, North Carolina",36.0828,-78.2857,66362
Wayne,Indiana,"Wayne, Indiana",39.8644,-85.0098,66342
Wise,Texas,"Wise, Texas",33.2159,-97.6545,66290
Rice,Minnesota,"Rice, Minnesota",44.3543,-93.2967,66185
Otero,New Mexico,"Otero, New Mexico",32.6132,-105.7415,66137
Adams,Illinois,"Adams, Illinois",39.9879,-91.1885,66085
Oldham,Kentucky,"Oldham, Kentucky",38.3994,-85.4483,65967
Athens,Ohio,"Athens, Ohio",39.3339,-82.0452,65917
Armstrong,Pennsylvania,"Armstrong, Pennsylvania",40.8123,-79.4645,65867
Columbia,Pennsylvania,"Columbia, Pennsylvania",41.0487,-76.4052,65715
Boone,Indiana,"Boone, Indiana",40.0508,-86.4687,65544
Nacogdoches,Texas,"Nacogdoches, Texas",31.616,-94.6159,65339
Spalding,Georgia,"Spalding, Georgia",33.2609,-84.2841,65306
Marion,Ohio,"Marion, Ohio",40.5872,-83.1609,65299
McCracken,Kentucky,"McCracken, Kentucky",37.054,-88.7127,65268
Chaves,New Mexico,"Chaves, New Mexico",33.3633,-104.4669,65144
Kershaw,South Carolina,"Kershaw, South Carolina",34.3388,-80.5902,65112
Pulaski,Kentucky,"Pulaski, Kentucky",37.1039,-84.5773,64350
Ionia,Michigan,"Ionia, Michigan",42.9451,-85.0746,64300
Warren,New York,"Warren, New York",43.561,-73.846,64276
Crow Wing,Minnesota,"Crow Wing, Minnesota",46.4824,-94.0709,64217
Lake,California,"Lake, California",39.0996,-122.7532,64195
Hamblen,Tennessee,"Hamblen, Tennessee",36.2171,-83.2667,64132
Walker,Alabama,"Walker, Alabama",33.8033,-87.2973,64110
Starr,Texas,"Starr, Texas",26.5621,-98.7387,64078
Sauk,Wisconsin,"Sauk, Wisconsin",43.4267,-89.9482,63922
Tehama,California,"Tehama, California",40.1256,-122.2341,63912
Chippewa,Wisconsin,"Chippewa, Wisconsin",45.0694,-91.2798,63892
Carbon,Pennsylvania,"Carbon, Pennsylvania",40.9182,-75.7088,63887
Mason,Washington,"Mason, Washington",47.3484,-123.1927,63804
Pope,Arkansas,"Pope, Arkansas",35.4476,-93.0342,63761
Coos,Oregon,"Coos, Oregon",43.1742,-124.0594,63686
Livingston,New York,"Livingston, New York",42.7281,-77.7755,63591
Clay,Minnesota,"Clay, Minnesota",46.8924,-96.4907,63446
Montcalm,Michigan,"Montcalm, Michigan",43.311,-85.1525,63413
Sampson,North Carolina,"Sampson, North Carolina",34.9915,-78.3714,63385
Salem,New Jersey,"Salem, New Jersey",39.5876,-75.3491,62990
Reno,Kansas,"Reno, Kansas",37.953,-98.086,62765
Crawford,Arkansas,"Crawford, Arkansas",35.5885,-94.2429,62739
Acadia,Louisiana,"Acadia, Louisiana",30.2905,-92.412,62457
Warrick,Indiana,"Warrick, Indiana",38.0922,-87.2721,62280
Herkimer,New York,"Herkimer, New York",43.4197,-74.9625,62057
Lamar,Mississippi,"Lamar, Mississippi",31.206,-89.5087,61969
Georgetown,South Carolina,"Georgetown, South Carolina",33.4343,-79.3323,61952
Garfield,Oklahoma,"Garfield, Oklahoma",36.3791,-97.7827,61898
Washington,New York,"Washington, New York",43.3137,-73.4308,61616
Stanly,North Carolina,"Stanly, North Carolina",35.312,-80.251,61588
Knox,Ohio,"Knox, Ohio",40.3988,-82.4215,61481
Tipton,Tennessee,"Tipton, Tennessee",35.4969,-89.7592,61447
Liberty,Georgia,"Liberty, Georgia",31.8281,-81.4947,61349
Hall,Nebraska,"Hall, Nebraska",40.8726,-98.5022,61265
Pittsylvania,Virginia,"Pittsylvania, Virginia",36.8213,-79.3971,61256
Haywood,North Carolina,"Haywood, North Carolina",35.556,-82.9822,61053
Bradford,Pennsylvania,"Bradford, Pennsylvania",41.7887,-76.5154,60963
Belknap,New Hampshire,"Belknap, New Hampshire",43.5179,-71.4227,60887
St. Joseph,Michigan,"St. Joseph, Michigan",41.9144,-85.5278,60836
Barry,Michigan,"Barry, Michigan",42.595,-85.309,60540
Lee,North Carolina,"Lee, North Carolina",35.4752,-79.1715,60481
Effingham,Georgia,"Effingham, Georgia",32.3673,-81.3413,60477
Washington,Ohio,"Washington, Ohio",39.4553,-81.4953,60426
Pender,North Carolina,"Pender, North Carolina",34.5248,-77.9051,60399
San Benito,California,"San Benito, California",36.6057,-121.075,60376
Columbia,New York,"Columbia, New York",42.2501,-73.6318,60371
Walla Walla,Washington,"Walla Walla, Washington",46.2298,-118.4784,60365
Laurel,Kentucky,"Laurel, Kentucky",37.1107,-84.1178,60357
Lawrence,Ohio,"Lawrence, Ohio",38.5984,-82.5368,60184
Otsego,New York,"Otsego, New York",42.6338,-75.0326,59972
Mercer,West Virginia,"Mercer, West Virginia",37.4055,-81.1114,59919
Vermilion,Louisiana,"Vermilion, Louisiana",29.8465,-92.3238,59865
Pike,Kentucky,"Pike, Kentucky",37.4691,-82.3958,59497
Granville,North Carolina,"Granville, North Carolina",36.3041,-78.6527,59328
Cumberland,Tennessee,"Cumberland, Tennessee",35.9504,-84.9984,59216
Lowndes,Mississippi,"Lowndes, Mississippi",33.4729,-88.4433,59150
Garfield,Colorado,"Garfield, Colorado",39.5993,-107.904,59055
Sandusky,Ohio,"Sandusky, Ohio",41.3563,-83.1462,59029
Duplin,North Carolina,"Duplin, North Carolina",34.9365,-77.933,58967
Rutland,Vermont,"Rutland, Vermont",43.5801,-73.0366,58892
Kenai Peninsula,Alaska,"Kenai Peninsula, Alaska",60.2654,-151.5652,58464
Washington,Vermont,"Washington, Vermont",44.2734,-72.6149,58350
Huron,Ohio,"Huron, Ohio",41.1462,-82.5984,58339
Hood,Texas,"Hood, Texas",32.43,-97.8323,58318
Otter Tail,Minnesota,"Otter Tail, Minnesota",46.4088,-95.708,58195
Newton,Missouri,"Newton, Missouri",36.9055,-94.3393,58180
Maverick,Texas,"Maverick, Texas",28.7425,-100.3145,58174
Jackson,Illinois,"Jackson, Illinois",37.7851,-89.3821,57977
Russell,Alabama,"Russell, Alabama",32.2884,-85.1849,57952
Anderson,Texas,"Anderson, Texas",31.8133,-95.6525,57810
Genesee,New York,"Genesee, New York",43.0009,-78.1938,57808
Pickaway,Ohio,"Pickaway, Ohio",39.6419,-83.0244,57762
Eddy,New Mexico,"Eddy, New Mexico",32.4715,-104.3043,57732
Blount,Alabama,"Blount, Alabama",33.9809,-86.5674,57681
Oxford,Maine,"Oxford, Maine",44.4999,-70.7566,57550
Gordon,Georgia,"Gordon, Georgia",34.5032,-84.8759,57202
Columbia,Wisconsin,"Columbia, Wisconsin",43.4666,-89.3337,57133
Cherokee,South Carolina,"Cherokee, South Carolina",35.0481,-81.6205,56895
Lincoln,South Dakota,"Lincoln, South Dakota",43.2789,-96.7218,56826
Hardin,Texas,"Hardin, Texas",30.3324,-94.3902,56765
Lenoir,North Carolina,"Lenoir, North Carolina",35.2388,-77.6412,56756
Union,Ohio,"Union, Ohio",40.2994,-83.3716,56707
Hawkins,Tennessee,"Hawkins, Tennessee",36.4412,-82.9447,56611
Putnam,West Virginia,"Putnam, West Virginia",38.5086,-81.909,56610
Jefferson,West Virginia,"Jefferson, West Virginia",39.3076,-77.8628,56506
Lincoln,Missouri,"Lincoln, Missouri",39.058,-90.9601,56477
Carter,Tennessee,"Carter, Tennessee",36.2928,-82.1275,56433
Marion,West Virginia,"Marion, West Virginia",39.51,-80.2434,56355
Franklin,Virginia,"Franklin, Virginia",36.992,-79.8811,56187
Columbus,North Carolina,"Columbus, North Carolina",34.2656,-78.655,56068
Whiteside,Illinois,"Whiteside, Illinois",41.7562,-89.9141,56016
La Plata,Colorado,"La Plata, Colorado",37.2866,-107.8433,55617
Pike,Pennsylvania,"Pike, Pennsylvania",41.332,-75.0338,55453
Autauga,Alabama,"Autauga, Alabama",32.5349,-86.6427,55380
Seneca,Ohio,"Seneca, Ohio",41.1239,-83.1277,55351
Chisago,Minnesota,"Chisago, Minnesota",45.5025,-92.9083,55315
Windsor,Vermont,"Windsor, Vermont",43.58,-72.5862,55275
Campbell,Virginia,"Campbell, Virginia",37.2053,-79.0966,55225
Pearl River,Mississippi,"Pearl River, Mississippi",30.7688,-89.5896,55219
Coffee,Tennessee,"Coffee, Tennessee",35.4906,-86.0748,55209
Taney,Missouri,"Taney, Missouri",36.6548,-93.0411,55114
Van Zandt,Texas,"Van Zandt, Texas",32.5637,-95.8365,55103
Grady,Oklahoma,"Grady, Oklahoma",35.0169,-97.8841,55071
Watauga,North Carolina,"Watauga, North Carolina",36.2311,-81.6964,54925
Carson City,Nevada,"Carson City, Nevada",39.1512,-119.7474,54773
Colbert,Alabama,"Colbert, Alabama",34.7005,-87.8049,54771
Saline,Kansas,"Saline, Kansas",38.7838,-97.65,54701
Eagle,Colorado,"Eagle, Colorado",39.6278,-106.6954,54681
Scott,Kentucky,"Scott, Kentucky",38.2915,-84.5839,54667
Hancock,Maine,"Hancock, Maine",44.6642,-68.3586,54601
Lyon,Nevada,"Lyon, Nevada",39.0203,-119.1891,54380
Washington,Virginia,"Washington, Virginia",36.7244,-81.9598,54071
Tuolumne,California,"Tuolumne, California",38.0276,-119.9548,54045
Hoke,North Carolina,"Hoke, North Carolina",35.0175,-79.2373,53957
Box Elder,Utah,"Box Elder, Utah",41.521,-113.0821,53946
Rusk,Texas,"Rusk, Texas",32.1077,-94.7619,53755
St. Martin,Louisiana,"St. Martin, Louisiana",30.1291,-91.6083,53732
Johnson,Missouri,"Johnson, Missouri",38.7441,-93.8064,53682
Jefferson,Tennessee,"Jefferson, Tennessee",36.051,-83.4463,53679
Fulton,New York,"Fulton, New York",43.1138,-74.4222,53646
Lafayette,Mississippi,"Lafayette, Mississippi",34.3567,-89.4849,53590
Gila,Arizona,"Gila, Arizona",33.7997,-110.8117,53546
Boone,Illinois,"Boone, Illinois",42.3231,-88.8234,53537
Ashland,Ohio,"Ashland, Ohio",40.846,-82.2707,53536
Harrisonburg,Virginia,"Harrisonburg, Virginia",38.4361,-78.8735,53273
Camden,Georgia,"Camden, Georgia",30.9306,-81.67,53231
Roane,Tennessee,"Roane, Tennessee",35.8479,-84.5232,53075
McMinn,Tennessee,"McMinn, Tennessee",35.4248,-84.6175,53053
Jessamine,Kentucky,"Jessamine, Kentucky",37.8721,-84.5809,53032
Tuscola,Michigan,"Tuscola, Michigan",43.4645,-83.4169,52939
St. Charles,Louisiana,"St. Charles, Louisiana",29.9055,-90.3582,52773
Dickson,Tennessee,"Dickson, Tennessee",36.149,-87.3567,52680
Edgecombe,North Carolina,"Edgecombe, North Carolina",35.9129,-77.5971,52648
Pulaski,Missouri,"Pulaski, Missouri",37.8246,-92.2076,52425
Loudon,Tennessee,"Loudon, Tennessee",35.7348,-84.3118,52340
Elko,Nevada,"Elko, Nevada",41.1458,-115.3577,52297
Cherokee,Texas,"Cherokee, Texas",31.837,-95.1652,52118
Washington,Oklahoma,"Washington, Oklahoma",36.7152,-95.9044,51886
Jackson,Alabama,"Jackson, Alabama",34.7795,-85.9994,51852
Kerr,Texas,"Kerr, Texas",30.0615,-99.35,51843
Waller,Texas,"Waller, Texas",30.0108,-95.9877,51832
Venango,Pennsylvania,"Venango, Pennsylvania",41.401,-79.758,51818
Worcester,Maryland,"Worcester, Maryland",38.2128,-75.334,51765
Grant,Wisconsin,"Grant, Wisconsin",42.8675,-90.7062,51733
Coffee,Alabama,"Coffee, Alabama",31.4027,-85.9882,51662
Cass,Michigan,"Cass, Michigan",41.9154,-85.9935,51523
Darke,Ohio,"Darke, Ohio",40.1333,-84.6194,51513
Wayne,Pennsylvania,"Wayne, Pennsylvania",41.6487,-75.3033,51422
Columbia,Oregon,"Columbia, Oregon",45.9438,-123.0883,51375
Coles,Illinois,"Coles, Illinois",39.5203,-88.2218,51353
Henry,Virginia,"Henry, Virginia",36.6828,-79.874,51308
Waupaca,Wisconsin,"Waupaca, Wisconsin",44.4705,-88.9648,51245
Iron,Utah,"Iron, Utah",37.8592,-113.2895,51213
Halifax,North Carolina,"Halifax, North Carolina",36.2575,-77.6517,51190
Culpeper,Virginia,"Culpeper, Virginia",38.486,-77.9558,51101
Ogle,Illinois,"Ogle, Illinois",42.0426,-89.3207,51025
St. Mary,Louisiana,"St. Mary, Louisiana",29.7047,-91.4432,50968
Winona,Minnesota,"Winona, Minnesota",43.9869,-91.7792,50725
Grundy,Illinois,"Grundy, Illinois",41.2851,-88.4185,50666
Franklin,Kentucky,"Franklin, Kentucky",38.2392,-84.8771,50529
Somerset,Maine,"Somerset, Maine",45.5139,-69.9589,50520
Knox,Illinois,"Knox, Illinois",40.9318,-90.2132,50508
Franklin,New York,"Franklin, New York",44.5929,-74.3038,50477
Warren,Iowa,"Warren, Iowa",41.3344,-93.5614,50076
Medina,Texas,"Medina, Texas",29.3557,-99.1102,50057
Le Flore,Oklahoma,"Le Flore, Oklahoma",34.9003,-94.7034,50026
Calumet,Wisconsin,"Calumet, Wisconsin",44.0816,-88.2181,49928
Curry,New Mexico,"Curry, New Mexico",34.5742,-103.347,49732
Vernon,Louisiana,"Vernon, Louisiana",31.1083,-93.1842,49646
Queen Anne's,Maryland,"Queen Anne's, Maryland",39.068,-76.0203,49632
Lamar,Texas,"Lamar, Texas",33.6673,-95.5712,49611
Atascosa,Texas,"Atascosa, Texas",28.8935,-98.5272,49528
Oktibbeha,Mississippi,"Oktibbeha, Mississippi",33.425,-88.8793,49512
Dearborn,Indiana,"Dearborn, Indiana",39.1452,-84.9732,49479
Montgomery,New York,"Montgomery, New York",42.9023,-74.4397,49302
Dale,Alabama,"Dale, Alabama",31.4318,-85.611,49277
Henry,Illinois,"Henry, Illinois",41.3531,-90.1314,49267
Whitman,Washington,"Whitman, Washington",46.9012,-117.523,49231
Gibson,Tennessee,"Gibson, Tennessee",35.9966,-88.9326,49228
Buffalo,Nebraska,"Buffalo, Nebraska",40.8552,-99.075,49209
Wilson,Texas,"Wilson, Texas",29.174,-98.0866,49173
Franklin,Vermont,"Franklin, Vermont",44.8575,-72.912,49116
Navarro,Texas,"Navarro, Texas",32.0469,-96.4725,48995
Val Verde,Texas,"Val Verde, Texas",29.8929,-101.1517,48969
Polk,Texas,"Polk, Texas",30.7927,-94.83,48913
Bristol,Rhode Island,"Bristol, Rhode Island",41.7173,-71.284,48764
Shelby,Ohio,"Shelby, Ohio",40.3316,-84.2048,48749
Tioga,New York,"Tioga, New York",42.1703,-76.3063,48686
Crittenden,Arkansas,"Crittenden, Arkansas",35.2079,-90.3089,48672
Cherokee,Oklahoma,"Cherokee, Oklahoma",35.9067,-94.9997,48664
Lincoln,Oregon,"Lincoln, Oregon",44.642,-123.8682,48547
Newaygo,Michigan,"Newaygo, Michigan",43.5542,-85.8009,48366
Bedford,Pennsylvania,"Bedford, Pennsylvania",40.0065,-78.4903,48337
Carter,Oklahoma,"Carter, Oklahoma",34.2509,-97.2858,48319
Bedford,Tennessee,"Bedford, Tennessee",35.5138,-86.4589,48292
Henry,Indiana,"Henry, Indiana",39.9311,-85.3964,48255
Carroll,New Hampshire,"Carroll, New Hampshire",43.8738,-71.2031,48138
Douglas,Nevada,"Douglas, Nevada",38.9122,-119.6164,48132
Jackson,Florida,"Jackson, Florida",30.7954,-85.2155,47945
Chenango,New York,"Chenango, New York",42.4935,-75.6116,47909
Cortland,New York,"Cortland, New York",42.595,-76.0703,47865
Boyd,Kentucky,"Boyd, Kentucky",38.3596,-82.6878,47682
Noble,Indiana,"Noble, Indiana",41.3986,-85.4175,47506
Greene,New York,"Greene, New York",42.2765,-74.1227,47424
Campbell,Wyoming,"Campbell, Wyoming",44.2482,-105.5482,47409
Laurens,Georgia,"Laurens, Georgia",32.4637,-82.9222,47405
Shelby,Kentucky,"Shelby, Kentucky",38.2155,-85.1948,47325
Fremont,Colorado,"Fremont, Colorado",38.473,-105.4397,47321
Lincoln,Louisiana,"Lincoln, Louisiana",32.6016,-92.6648,47246
Osage,Oklahoma,"Osage, Oklahoma",36.6292,-96.3985,47226
Beaufort,North Carolina,"Beaufort, North Carolina",35.494,-76.8598,47168
Charlottesville,Virginia,"Charlottesville, Virginia",38.0375,-78.4855,47096
Hancock,Mississippi,"Hancock, Mississippi",30.416,-89.4885,46961
Clinton,Iowa,"Clinton, Iowa",41.898,-90.532,46909
Allegany,New York,"Allegany, New York",42.2574,-78.0276,46688
Logan,Oklahoma,"Logan, Oklahoma",35.9193,-97.4433,46683
Burnet,Texas,"Burnet, Texas",30.7883,-98.1824,46530
Warren,Mississippi,"Warren, Mississippi",32.3573,-90.852,46519
Santa Cruz,Arizona,"Santa Cruz, Arizona",31.5259,-110.8465,46480
Marshall,Indiana,"Marshall, Indiana",41.3248,-86.2618,46461
Bryan,Oklahoma,"Bryan, Oklahoma",33.9623,-96.2598,46457
Washington,Louisiana,"Washington, Louisiana",30.8533,-90.0405,46435
Beltrami,Minnesota,"Beltrami, Minnesota",47.9738,-94.9377,46403
Mifflin,Pennsylvania,"Mifflin, Pennsylvania",40.6104,-77.617,46276
St. Bernard,Louisiana,"St. Bernard, Louisiana",29.8693,-89.5552,46266
Goodhue,Minnesota,"Goodhue, Minnesota",44.4097,-92.7229,46246
Monroe,Tennessee,"Monroe, Tennessee",35.4427,-84.2527,46064
Washington,Mississippi,"Washington, Mississippi",33.2838,-90.9475,46057
Perry,Pennsylvania,"Perry, Pennsylvania",40.3984,-77.2623,46053
Chesterfield,South Carolina,"Chesterfield, South Carolina",34.6398,-80.1587,45953
Gadsden,Florida,"Gadsden, Florida",30.5795,-84.6136,45945
Kittitas,Washington,"Kittitas, Washington",47.1244,-120.6799,45897
Bingham,Idaho,"Bingham, Idaho",43.2166,-112.3981,45839
Henderson,Kentucky,"Henderson, Kentucky",37.7958,-87.573,45829
Stokes,North Carolina,"Stokes, North Carolina",36.4019,-80.2395,45781
Monroe,Wisconsin,"Monroe, Wisconsin",43.9457,-90.6178,45771
Hillsdale,Michigan,"Hillsdale, Michigan",41.8878,-84.5929,45757
Auglaize,Ohio,"Auglaize, Ohio",40.5609,-84.2217,45729
Nelson,Kentucky,"Nelson, Kentucky",37.8052,-85.466,45650
Lawrence,Indiana,"Lawrence, Indiana",38.8412,-86.4835,45548
Calaveras,California,"Calaveras, California",38.2046,-120.5541,45514
Colquitt,Georgia,"Colquitt, Georgia",31.1884,-83.7688,45486
Camden,Missouri,"Camden, Missouri",38.027,-92.766,45466
Macoupin,Illinois,"Macoupin, Illinois",39.261,-89.9245,45463
Huntingdon,Pennsylvania,"Huntingdon, Pennsylvania",40.417,-77.9812,45369
Hopkins,Kentucky,"Hopkins, Kentucky",37.3088,-87.5408,45331
Logan,Ohio,"Logan, Ohio",40.3885,-83.7658,45316
Barron,Wisconsin,"Barron, Wisconsin",45.4237,-91.8483,45229
McDowell,North Carolina,"McDowell, North Carolina",35.6817,-82.0493,45227
Itasca,Minnesota,"Itasca, Minnesota",47.5095,-93.632,45141
Baldwin,Georgia,"Baldwin, Georgia",33.0692,-83.2496,45111
Union,Pennsylvania,"Union, Pennsylvania",40.963,-77.0622,45111
Stephenson,Illinois,"Stephenson, Illinois",42.3518,-89.6623,45093
Richmond,North Carolina,"Richmond, North Carolina",35.0059,-79.7478,44997
Delaware,New York,"Delaware, New York",42.1981,-74.9665,44995
Greene,Arkansas,"Greene, Arkansas",36.1176,-90.559,44937
Callaway,Missouri,"Callaway, Missouri",38.8355,-91.926,44889
Dunn,Wisconsin,"Dunn, Wisconsin",44.9466,-91.8964,44759
Stevens,Washington,"Stevens, Washington",48.3991,-117.8552,44655
Thomas,Georgia,"Thomas, Georgia",30.8638,-83.9193,44630
Phelps,Missouri,"Phelps, Missouri",37.8772,-91.7923,44630
Habersham,Georgia,"Habersham, Georgia",34.631,-83.5311,44626
Vance,North Carolina,"Vance, North Carolina",36.3649,-78.4079,44479
Shelby,Indiana,"Shelby, Indiana",39.5237,-85.7917,44438
Kay,Oklahoma,"Kay, Oklahoma",36.818,-97.1439,44402
Nye,Nevada,"Nye, Nevada",38.0423,-116.4719,44380
Wood,Texas,"Wood, Texas",32.7864,-95.3821,44366
Pittsburg,Oklahoma,"Pittsburg, Oklahoma",34.9239,-95.7484,44146
Madison,Ohio,"Madison, Ohio",39.894,-83.4002,44135
Chilton,Alabama,"Chilton, Alabama",32.8479,-86.7188,44055
Suwannee,Florida,"Suwannee, Florida",30.1956,-82.9915,44046
Jackson,Indiana,"Jackson, Indiana",38.9064,-86.0375,44025
Holmes,Ohio,"Holmes, Ohio",40.5612,-81.9293,43901
Barren,Kentucky,"Barren, Kentucky",36.9656,-85.9337,43884
Jefferson,Pennsylvania,"Jefferson, Pennsylvania",41.1282,-78.9994,43846
Kendall,Texas,"Kendall, Texas",29.9447,-98.7116,43769
Stephens,Oklahoma,"Stephens, Oklahoma",34.4856,-97.8515,43647
Bonner,Idaho,"Bonner, Idaho",48.3,-116.6011,43611
Fayette,West Virginia,"Fayette, West Virginia",38.0288,-81.0812,43576
Miller,Arkansas,"Miller, Arkansas",33.3121,-93.8916,43572
Brown,Ohio,"Brown, Ohio",38.934,-83.8674,43572
Sweetwater,Wyoming,"Sweetwater, Wyoming",41.6595,-108.8796,43521
Branch,Michigan,"Branch, Michigan",41.9161,-85.059,43513
Siskiyou,California,"Siskiyou, California",41.5927,-122.5404,43468
Polk,Wisconsin,"Polk, Wisconsin",45.4614,-92.4414,43438
Lawrence,Tennessee,"Lawrence, Tennessee",35.2173,-87.3956,43390
Douglas,Wisconsin,"Douglas, Wisconsin",46.4329,-91.9162,43295
Mecosta,Michigan,"Mecosta, Michigan",43.6408,-85.3246,43251
St. John the Baptist,Louisiana,"St. John the Baptist, Louisiana",30.1265,-90.4709,43242
Shenandoah,Virginia,"Shenandoah, Virginia",38.8583,-78.5708,43224
Sullivan,New Hampshire,"Sullivan, New Hampshire",43.3614,-72.2222,43104
Coffee,Georgia,"Coffee, Georgia",31.5493,-82.8492,43021
Highland,Ohio,"Highland, Ohio",39.1847,-83.601,43016
Jackson,North Carolina,"Jackson, North Carolina",35.2875,-83.1408,42938
DeKalb,Indiana,"DeKalb, Indiana",41.3976,-84.9991,42927
Muscatine,Iowa,"Muscatine, Iowa",41.4839,-91.1127,42889
Kandiyohi,Minnesota,"Kandiyohi, Minnesota",45.1524,-95.0047,42841
Cerro Gordo,Iowa,"Cerro Gordo, Iowa",43.0816,-93.2608,42834
Windham,Vermont,"Windham, Vermont",42.9906,-72.7138,42823
Butler,Missouri,"Butler, Missouri",36.7164,-90.4066,42656
Dubois,Indiana,"Dubois, Indiana",38.3643,-86.8798,42543
Ravalli,Montana,"Ravalli, Montana",46.0817,-114.1207,42512
Delaware,Oklahoma,"Delaware, Oklahoma",36.4082,-94.8026,42433
Pettis,Missouri,"Pettis, Missouri",38.7283,-93.2851,42355
Davie,North Carolina,"Davie, North Carolina",35.9291,-80.5445,42257
Fulton,Ohio,"Fulton, Ohio",41.6018,-84.1301,42253
Caldwell,Texas,"Caldwell, Texas",29.8371,-97.62,42144
Ohio,West Virginia,"Ohio, West Virginia",40.0969,-80.6189,42143
Mississippi,Arkansas,"Mississippi, Arkansas",35.7638,-90.0542,42126
Douglas,Washington,"Douglas, Washington",47.7361,-119.6918,42023
Pierce,Wisconsin,"Pierce, Wisconsin",44.7194,-92.4224,41977
Clinton,Ohio,"Clinton, Ohio",39.415,-83.8084,41957
Polk,Georgia,"Polk, Georgia",34.0018,-85.1881,41908
Okanogan,Washington,"Okanogan, Washington",48.5488,-119.7408,41842
Erath,Texas,"Erath, Texas",32.2363,-98.2179,41841
Crawford,Ohio,"Crawford, Ohio",40.8508,-82.9198,41821
Franklin,Tennessee,"Franklin, Tennessee",35.155,-86.0922,41725
Sequoyah,Oklahoma,"Sequoyah, Oklahoma",35.4954,-94.7552,41709
Montrose,Colorado,"Montrose, Colorado",38.4022,-108.2693,41686
Tazewell,Virginia,"Tazewell, Virginia",37.125,-81.5606,41603
Wharton,Texas,"Wharton, Texas",29.2779,-96.2221,41577
Baxter,Arkansas,"Baxter, Arkansas",36.2872,-92.337,41427
McKean,Pennsylvania,"McKean, Pennsylvania",41.8077,-78.569,41401
Chambers,Texas,"Chambers, Texas",29.7386,-94.611,41305
Sanilac,Michigan,"Sanilac, Michigan",43.4236,-82.8201,41295
Manassas,Virginia,"Manassas, Virginia",38.7479,-77.4839,41174
Okeechobee,Florida,"Okeechobee, Florida",27.3864,-80.8886,41144
Summit,Utah,"Summit, Utah",40.8682,-110.9557,41103
Preble,Ohio,"Preble, Ohio",39.7415,-84.648,41093
Danville,Virginia,"Danville, Virginia",36.5831,-79.4087,41070
Mayes,Oklahoma,"Mayes, Oklahoma",36.3019,-95.2308,41044
