county,state_name,Location,lat,lng,population
Norfolk,Massachusetts,"Norfolk, Massachusetts",42.1607,-71.2111,700437
El Paso,Colorado,"El Paso, Colorado",38.8321,-104.5255,698974
Jackson,Missouri,"Jackson, Missouri",39.0085,-94.3461,696216
District of Columbia,District of Columbia,"District of Columbia, District of Columbia",38.9047,-77.0163,692683
Will,Illinois,"Will, Illinois",41.445,-87.9786,689315
Davidson,Tennessee,"Davidson, Tennessee",36.1695,-86.7848,687488
Polk,Florida,"Polk, Florida",27.9489,-81.6976,686218
Bernalillo,New Mexico,"Bernalillo, New Mexico",35.0513,-106.6701,677858
Hudson,New Jersey,"Hudson, New Jersey",40.7351,-74.0777,670046
Jefferson,Alabama,"Jefferson, Alabama",33.5543,-86.8964,659680
Kent,Michigan,"Kent, Michigan",43.0322,-85.5493,648121
Tulsa,Oklahoma,"Tulsa, Oklahoma",36.1211,-95.9415,646419
Arapahoe,Colorado,"Arapahoe, Colorado",39.6498,-104.3392,644560
Providence,Rhode Island,"Providence, Rhode Island",41.8721,-71.58,635737
Bucks,Pennsylvania,"Bucks, Pennsylvania",40.337,-75.1069,626806
Monmouth,New Jersey,"Monmouth, New Jersey",40.2603,-74.2213,621659
Baltimore,Maryland,"Baltimore, Maryland",39.3051,-76.6144,609032
Utah,Utah,"Utah, Utah",40.1199,-111.6703,605490
Ocean,New Jersey,"Ocean, New Jersey",39.8855,-74.2813,596415
Johnson,Kansas,"Johnson, Kansas",38.8838,-94.8223,591506
Washington,Oregon,"Washington, Oregon",45.5601,-123.0984,589481
Brevard,Florida,"Brevard, Florida",28.2937,-80.7323,585507
Jefferson,Colorado,"Jefferson, Colorado",39.5864,-105.2505,574798
Montgomery,Texas,"Montgomery, Texas",30.3002,-95.503,571949
Anne Arundel,Maryland,"Anne Arundel, Maryland",39.0065,-76.6051,571275
Delaware,Pennsylvania,"Delaware, Pennsylvania",39.9167,-75.3991,564554
Bristol,Massachusetts,"Bristol, Massachusetts",41.7972,-71.1144,561037
Douglas,Nebraska,"Douglas, Nebraska",41.2953,-96.1543,560617
New Castle,Delaware,"New Castle, Delaware",39.5768,-75.6527,556165
Union,New Jersey,"Union, New Jersey",40.66,-74.3085,554033
Williamson,Texas,"Williamson, Texas",30.648,-97.6008,547604
Ramsey,Minnesota,"Ramsey, Minnesota",45.0171,-93.0996,544442
Stanislaus,California,"Stanislaus, California",37.5591,-120.9977,543194
Summit,Ohio,"Summit, Ohio",41.126,-81.5322,541334
Lancaster,Pennsylvania,"Lancaster, Pennsylvania",40.0424,-76.2477,540999
Volusia,Florida,"Volusia, Florida",29.0584,-81.1819,536487
Dane,Wisconsin,"Dane, Wisconsin",43.0673,-89.4181,536078
Montgomery,Ohio,"Montgomery, Ohio",39.7546,-84.2906,531670
Kane,Illinois,"Kane, Illinois",41.9388,-88.4286,531376
Guilford,North Carolina,"Guilford, North Carolina",36.0795,-79.7889,527868
Pasco,Florida,"Pasco, Florida",28.3091,-82.3932,524602
Chester,Pennsylvania,"Chester, Pennsylvania",39.9731,-75.7484,519560
Plymouth,Massachusetts,"Plymouth, Massachusetts",41.9512,-70.8114,515303
Sedgwick,Kansas,"Sedgwick, Kansas",37.6848,-97.461,513375
Greenville,South Carolina,"Greenville, South Carolina",34.8944,-82.3707,507003
Camden,New Jersey,"Camden, New Jersey",39.8035,-74.9597,506738
Spokane,Washington,"Spokane, Washington",47.6207,-117.404,505505
Adams,Colorado,"Adams, Colorado",39.8736,-104.3378,504108
Passaic,New Jersey,"Passaic, New Jersey",41.0344,-74.3008,503637
Sonoma,California,"Sonoma, California",38.5283,-122.8874,499772
Morris,New Jersey,"Morris, New Jersey",40.862,-74.5445,493379
Lake,Indiana,"Lake, Indiana",41.4171,-87.3822,485707
Polk,Iowa,"Polk, Iowa",41.6855,-93.5735,479612
Richmond,New York,"Richmond, New York",40.5808,-74.1524,474893
Clark,Washington,"Clark, Washington",45.7793,-122.4825,473252
Hampden,Massachusetts,"Hampden, Massachusetts",42.1351,-72.6316,467871
Onondaga,New York,"Onondaga, New York",43.0058,-76.1946,462872
Tulare,California,"Tulare, California",36.2201,-118.8005,461898
Prince William,Virginia,"Prince William, Virginia",38.703,-77.4809,461423
Seminole,Florida,"Seminole, Florida",28.717,-81.2363,461402
Knox,Tennessee,"Knox, Tennessee",35.9932,-83.9371,461104
Washoe,Nevada,"Washoe, Nevada",40.6657,-119.6643,456936
Ada,Idaho,"Ada, Idaho",43.4511,-116.2412,456849
Virginia Beach,Virginia,"Virginia Beach, Virginia",36.7335,-76.0435,450201
Burlington,New Jersey,"Burlington, New Jersey",39.8777,-74.6681,445702
York,Pennsylvania,"York, Pennsylvania",39.92,-76.7265,445565
Santa Barbara,California,"Santa Barbara, California",34.6729,-120.0165,444829
East Baton Rouge,Louisiana,"East Baton Rouge, Louisiana",30.5383,-91.0956,443763
Solano,California,"Solano, California",38.27,-121.9329,441829
