,State,County,"Male sufficient physical activity prevalence, 2001 (%)","Female sufficient physical activity prevalence, 2001 (%)","Male sufficient physical activity  prevalence, 2009 (%)","Female sufficient physical activity  prevalence, 2009 (%)","Male sufficient physical activity  prevalence, 2011* (%)","Female sufficient physical activity  prevalence, 2011* (%)","Difference in male sufficient physical activity prevalence, 2001-2009 (percentage points)","Difference in female sufficient physical activity prevalence, 2001-2009 (percentage points)"
1,Alabama,,52.4,40.4,51.5,41.4,49.5,42.0,-0.9,1.0
2,Alabama,Autauga,55.0,43.6,55.1,46.8,52.9,47.5,0.1,3.2
3,Alabama,Baldwin,55.4,48.4,56.6,49.2,54.1,49.6,1.2,0.8
4,Alabama,Barbour,45.7,33.0,46.4,34.6,44.9,35.8,0.7,1.6
5,Alabama,Bibb,44.5,33.6,45.2,36.3,42.7,37.4,0.7,2.7
6,Alabama,Blount,47.1,39.5,44.4,36.3,43.1,37.6,-2.7,-3.2
7,Alabama,Bullock,43.0,29.2,45.0,33.4,43.0,34.5,2.0,4.1
8,Alabama,Butler,47.9,33.8,48.7,36.5,48.0,37.4,0.8,2.7
9,Alabama,Calhoun,51.8,38.5,49.5,39.9,48.7,40.7,-2.3,1.4
10,Alabama,Chambers,46.6,32.1,48.5,34.4,46.9,34.7,1.9,2.3
11,Alabama,Cherokee,41.6,34.6,46.6,40.5,44.8,40.8,5.0,5.9
12,Alabama,Chilton,48.9,35.3,46.1,37.6,43.9,38.2,-2.8,2.4
13,Alabama,Choctaw,44.9,31.8,45.6,32.7,43.6,33.6,0.7,0.9
14,Alabama,Clarke,47.6,37.3,50.1,36.4,48.5,37.4,2.5,-0.9
15,Alabama,Clay,46.0,33.7,46.1,38.3,44.1,39.0,0.1,4.6
16,Alabama,Cleburne,41.9,33.9,47.6,40.7,46.4,41.7,5.7,6.9
17,Alabama,Coffee,51.3,43.5,49.9,45.5,47.8,46.7,-1.4,2.0
18,Alabama,Colbert,49.6,38.7,52.7,41.0,51.2,42.1,3.1,2.3
19,Alabama,Conecuh,46.4,35.6,46.2,32.6,44.5,33.5,-0.2,-3.0
20,Alabama,Coosa,49.0,33.1,48.3,37.5,45.6,38.4,-0.7,4.4
21,Alabama,Covington,49.2,41.6,47.7,39.6,46.0,40.3,-1.6,-2.0
22,Alabama,Crenshaw,42.0,33.8,49.0,42.7,47.7,43.8,7.0,9.0
23,Alabama,Cullman,49.8,40.2,47.1,40.2,44.7,41.8,-2.7,0.1
24,Alabama,Dale,54.7,44.8,55.9,43.7,55.0,44.2,1.2,-1.1
25,Alabama,Dallas,50.2,35.9,46.4,34.5,44.2,35.5,-3.8,-1.4
26,Alabama,DeKalb,43.5,35.3,44.0,39.8,41.9,40.6,0.5,4.5
27,Alabama,Elmore,53.7,41.5,56.2,43.6,54.9,44.6,2.5,2.1
28,Alabama,Escambia,50.0,38.4,48.9,36.4,47.9,37.6,-1.1,-2.0
29,Alabama,Etowah,49.9,39.3,49.8,40.0,48.7,40.9,-0.1,0.7
30,Alabama,Fayette,44.7,35.4,46.0,36.5,44.6,37.6,1.3,1.1
31,Alabama,Franklin,40.1,33.1,46.7,38.0,45.4,38.9,6.6,4.9
32,Alabama,Geneva,45.8,38.5,46.7,44.0,44.6,44.8,0.9,5.5
33,Alabama,Greene,41.7,30.4,45.4,31.7,42.8,32.6,3.7,1.3
34,Alabama,Hale,42.3,31.9,43.4,32.4,41.2,33.4,1.1,0.6
35,Alabama,Henry,47.7,35.0,51.0,41.7,50.3,42.8,3.3,6.7
36,Alabama,Houston,55.0,40.2,51.0,44.4,47.8,44.8,-4.0,4.2
37,Alabama,Jackson,47.6,36.0,45.6,39.3,43.7,39.7,-1.9,3.3
38,Alabama,Jefferson,54.7,42.0,52.1,41.1,49.8,41.9,-2.6,-1.0
39,Alabama,Lamar,44.1,34.1,48.7,37.0,46.4,38.0,4.6,2.9
40,Alabama,Lauderdale,56.0,41.7,50.5,41.8,47.1,42.7,-5.4,0.2
41,Alabama,Lawrence,46.3,35.9,48.2,40.1,45.4,41.1,1.9,4.1
42,Alabama,Lee,57.8,45.0,58.7,48.1,57.9,49.3,1.0,3.1
43,Alabama,Limestone,53.5,39.5,52.3,40.8,50.4,41.5,-1.2,1.3
44,Alabama,Lowndes,45.3,31.4,46.7,36.2,44.7,37.3,1.4,4.8
45,Alabama,Macon,49.5,32.8,49.5,37.3,48.0,38.6,0.1,4.5
46,Alabama,Madison,59.7,45.7,56.2,46.3,54.3,46.1,-3.5,0.6
47,Alabama,Marengo,47.6,37.6,53.1,36.1,52.4,36.7,5.5,-1.5
48,Alabama,Marion,42.7,34.3,40.6,34.2,37.9,34.9,-2.1,-0.1
49,Alabama,Marshall,49.8,37.6,45.0,40.0,41.8,41.2,-4.8,2.4
50,Alabama,Mobile,52.8,39.4,53.6,39.5,52.5,39.0,0.8,0.2
51,Alabama,Monroe,47.0,34.7,50.5,36.6,49.3,37.7,3.6,1.9
52,Alabama,Montgomery,55.4,41.2,53.2,43.6,50.7,44.3,-2.3,2.4
53,Alabama,Morgan,53.6,44.6,53.5,43.1,51.3,44.5,-0.1,-1.5
54,Alabama,Perry,43.6,30.9,43.7,31.2,41.6,32.2,0.1,0.3
55,Alabama,Pickens,46.8,35.7,48.4,36.5,46.3,37.5,1.6,0.9
56,Alabama,Pike,46.9,38.9,51.0,41.6,50.0,42.3,4.1,2.7
57,Alabama,Randolph,43.8,31.6,43.8,39.0,41.3,39.5,-0.1,7.4
58,Alabama,Russell,49.2,32.7,50.4,38.9,49.5,40.0,1.2,6.3
59,Alabama,Shelby,62.7,48.7,56.0,49.2,52.9,49.7,-6.7,0.5
60,Alabama,St. Clair,48.8,38.2,48.7,38.9,47.5,39.4,-0.1,0.7
61,Alabama,Sumter,45.7,30.2,46.6,33.2,44.2,34.2,0.9,3.0
62,Alabama,Talladega,49.0,35.9,48.1,37.6,46.1,39.6,-1.0,1.8
63,Alabama,Tallapoosa,48.4,36.7,49.5,40.8,47.1,41.6,1.2,4.1
64,Alabama,Tuscaloosa,51.6,41.1,54.4,40.4,53.3,40.5,2.8,-0.7
65,Alabama,Walker,46.4,38.4,45.1,34.8,42.9,35.2,-1.3,-3.6
66,Alabama,Washington,49.0,40.4,51.4,41.6,48.9,43.1,2.4,1.2
67,Alabama,Wilcox,41.7,28.1,46.0,31.9,43.7,32.8,4.3,3.7
68,Alabama,Winston,44.1,35.2,42.8,37.6,41.4,38.7,-1.3,2.4
69,Alaska,,63.9,53.5,61.9,56.7,59.8,57.6,-2.0,3.3
70,Alaska,Aleutians East,53.7,46.1,62.2,57.3,60.3,58.8,8.5,11.3
71,Alaska,Aleutians West,57.8,46.5,57.0,53.2,54.8,54.7,-0.8,6.7
72,Alaska,Anchorage,66.1,54.9,63.4,57.2,61.3,58.2,-2.7,2.4
73,Alaska,Bethel,51.2,37.9,53.9,42.0,52.3,43.2,2.7,4.1
74,Alaska,Bristol Bay,62.1,58.6,61.6,54.5,59.9,55.8,-0.4,-4.2
75,Alaska,Dillingham,51.3,44.8,57.5,44.5,55.5,45.3,6.3,-0.3
76,Alaska,Fairbanks North Star,64.0,54.2,63.4,58.3,62.4,59.4,-0.7,4.1
77,Alaska,Haines,64.7,56.4,64.9,57.0,63.1,58.3,0.1,0.6
78,Alaska,Hoonah-Angoon,62.9,54.9,62.7,55.3,61.1,56.4,-0.1,0.4
79,Alaska,Juneau City and,69.0,59.7,63.3,59.2,59.3,59.0,-5.7,-0.5
80,Alaska,Kenai Peninsula,64.5,55.3,59.8,56.6,57.3,56.6,-4.7,1.2
81,Alaska,Ketchikan Gateway,66.0,55.5,62.2,56.7,60.2,57.8,-3.8,1.1
82,Alaska,Kodiak Island,65.6,56.1,62.5,60.5,60.7,62.0,-3.1,4.4
83,Alaska,Lake and Peninsula,52.1,42.7,56.3,47.8,54.1,49.0,4.2,5.1
84,Alaska,Matanuska-Susitna,60.9,50.7,61.4,60.3,58.5,60.7,0.5,9.5
85,Alaska,Nome,53.3,41.2,53.7,47.3,51.4,48.4,0.4,6.1
86,Alaska,North Slope,60.5,43.2,56.0,47.3,54.2,48.5,-4.4,4.1
87,Alaska,Northwest Arctic,55.4,39.1,52.3,41.8,49.7,42.7,-3.1,2.8
88,Alaska,Petersburg,66.0,55.5,62.2,56.7,60.2,57.8,-3.8,1.1
89,Alaska,Prince of Wales-Hyder,66.0,55.5,62.2,56.7,60.2,57.8,-3.8,1.1
90,Alaska,Sitka City and,67.9,62.2,62.1,57.4,60.0,58.4,-5.9,-4.8
91,Alaska,Skagway,62.9,54.9,62.7,55.3,61.1,56.4,-0.1,0.4
92,Alaska,Southeast Fairbanks,60.4,47.0,62.7,57.9,60.9,59.0,2.3,10.8
93,Alaska,Valdez-Cordova,66.5,53.5,64.8,56.2,63.7,57.1,-1.7,2.6
94,Alaska,Wade Hampton,45.8,33.0,49.2,37.3,46.8,38.5,3.3,4.3
95,Alaska,Wrangell City and,66.0,55.5,62.2,56.7,60.2,57.8,-3.8,1.1
96,Alaska,Yakutat City and,65.6,52.8,66.4,54.8,65.3,57.0,0.8,2.1
97,Alaska,Yukon-Koyukuk,58.4,46.9,56.8,50.1,55.8,51.4,-1.6,3.1
98,Arizona,,61.3,51.8,60.9,55.2,59.5,56.9,-0.3,3.4
99,Arizona,Apache,53.2,44.8,58.9,46.9,59.3,48.7,5.7,2.2
100,Arizona,Cochise,59.3,51.7,61.4,54.5,59.4,55.7,2.1,2.8
101,Arizona,Coconino,67.6,56.4,65.1,59.7,64.8,60.3,-2.5,3.3
102,Arizona,Gila,59.4,49.2,57.2,56.7,55.7,58.4,-2.2,7.5
103,Arizona,Graham,56.7,51.2,59.1,53.9,57.0,55.2,2.4,2.7
104,Arizona,Greenlee,63.6,57.9,63.9,57.7,62.2,58.7,0.4,-0.2
105,Arizona,La Paz,49.8,38.7,51.0,46.3,52.2,48.3,1.3,7.6
106,Arizona,Maricopa,61.9,52.6,61.1,55.9,59.3,57.9,-0.8,3.3
107,Arizona,Mohave,56.9,48.7,54.2,49.5,54.2,49.8,-2.6,0.8
108,Arizona,Navajo,59.2,47.9,63.9,56.2,64.3,57.9,4.7,8.3
109,Arizona,Pima,63.1,55.3,63.7,55.7,63.1,56.8,0.6,0.4
110,Arizona,Pinal,54.1,43.8,58.5,53.4,55.6,55.4,4.4,9.6
111,Arizona,Santa Cruz,57.5,45.4,59.4,47.9,57.4,47.5,1.9,2.5
112,Arizona,Yavapai,67.0,49.1,63.3,57.3,63.2,58.8,-3.6,8.2
113,Arizona,Yuma,54.3,40.8,51.0,48.1,48.9,48.9,-3.3,7.3
114,Arkansas,,52.4,41.4,53.6,44.3,51.3,45.2,1.2,2.9
115,Arkansas,Arkansas,49.8,35.4,50.7,38.4,48.1,39.2,0.8,3.0
116,Arkansas,Ashley,48.1,39.9,54.7,40.0,52.8,41.2,6.6,0.1
117,Arkansas,Baxter,55.7,49.3,58.6,49.5,57.4,50.0,3.0,0.2
118,Arkansas,Benton,61.3,45.7,59.4,50.3,57.2,51.4,-1.9,4.6
119,Arkansas,Boone,55.0,44.7,54.5,49.7,52.8,50.7,-0.5,5.0
120,Arkansas,Bradley,44.9,33.5,49.8,37.2,48.0,38.4,4.9,3.7
121,Arkansas,Calhoun,46.2,35.3,52.0,41.2,50.1,42.3,5.8,5.9
122,Arkansas,Carroll,51.7,43.9,53.8,47.7,51.8,48.8,2.1,3.8
123,Arkansas,Chicot,41.1,31.9,46.0,34.2,44.2,35.1,4.9,2.3
124,Arkansas,Clark,52.0,39.9,52.9,45.3,50.8,46.2,0.8,5.4
125,Arkansas,Clay,36.8,34.4,46.9,39.0,44.2,40.1,10.1,4.6
126,Arkansas,Cleburne,49.9,44.4,52.6,48.7,51.0,49.8,2.7,4.4
127,Arkansas,Cleveland,49.7,37.7,55.6,46.5,53.9,47.5,5.9,8.9
128,Arkansas,Columbia,50.5,39.4,57.3,42.9,55.6,43.4,6.9,3.6
129,Arkansas,Conway,49.0,38.8,52.2,49.2,50.0,49.7,3.2,10.4
130,Arkansas,Craighead,52.7,41.9,52.2,43.6,49.6,45.1,-0.4,1.7
131,Arkansas,Crawford,49.8,41.1,50.7,45.4,49.2,46.1,1.0,4.3
132,Arkansas,Crittenden,44.9,34.1,49.2,36.2,48.3,37.3,4.3,2.1
133,Arkansas,Cross,46.2,38.7,51.3,38.0,50.9,39.2,5.1,-0.6
134,Arkansas,Dallas,46.9,31.5,50.6,37.3,48.8,38.6,3.7,5.7
135,Arkansas,Desha,44.3,31.8,50.8,36.0,48.5,37.1,6.5,4.2
136,Arkansas,Drew,49.8,38.3,56.3,43.4,54.9,44.9,6.4,5.1
137,Arkansas,Faulkner,55.8,47.3,56.7,48.9,54.3,49.9,1.0,1.5
138,Arkansas,Franklin,47.9,39.9,52.6,47.6,50.4,48.8,4.7,7.7
139,Arkansas,Fulton,50.4,44.7,51.8,46.7,50.1,48.0,1.4,2.1
140,Arkansas,Garland,56.6,45.4,57.2,46.6,56.9,47.7,0.6,1.2
141,Arkansas,Grant,53.0,39.7,54.8,41.1,52.7,42.4,1.9,1.4
142,Arkansas,Greene,46.8,38.5,50.3,41.9,47.6,42.5,3.5,3.4
143,Arkansas,Hempstead,47.8,36.6,51.0,43.3,50.2,44.1,3.3,6.7
144,Arkansas,Hot Spring,51.0,39.7,51.4,39.3,49.8,40.1,0.4,-0.4
145,Arkansas,Howard,47.7,39.8,49.4,43.2,47.5,44.6,1.7,3.5
146,Arkansas,Independence,50.6,44.0,52.3,44.1,50.3,45.1,1.7,0.0
147,Arkansas,Izard,50.9,43.7,51.5,45.4,49.5,46.8,0.6,1.8
148,Arkansas,Jackson,44.4,35.3,46.5,34.2,45.4,35.2,2.1,-1.1
149,Arkansas,Jefferson,53.5,33.4,51.3,38.5,48.8,39.0,-2.1,5.1
150,Arkansas,Johnson,47.8,36.3,49.9,43.6,47.9,44.3,2.1,7.3
151,Arkansas,Lafayette,42.6,33.5,49.0,41.0,47.4,42.0,6.4,7.5
152,Arkansas,Lawrence,42.0,33.4,46.2,39.4,44.1,40.5,4.2,6.0
153,Arkansas,Lee,38.7,25.8,44.9,32.1,43.5,33.1,6.2,6.3
154,Arkansas,Lincoln,41.9,30.0,45.1,35.7,43.8,36.7,3.2,5.7
155,Arkansas,Little River,49.9,41.0,50.1,42.8,48.2,43.7,0.2,1.7
156,Arkansas,Logan,46.7,38.4,48.4,43.4,45.8,44.2,1.6,5.0
157,Arkansas,Lonoke,53.9,41.8,53.1,42.2,51.3,43.5,-0.8,0.4
158,Arkansas,Madison,48.9,39.6,52.0,45.9,51.1,46.5,3.1,6.3
159,Arkansas,Marion,52.9,46.8,55.3,53.2,53.6,54.5,2.4,6.4
160,Arkansas,Miller,49.9,38.1,48.9,43.8,46.9,45.2,-1.0,5.7
161,Arkansas,Mississippi,43.6,32.6,45.7,36.0,42.8,36.8,2.1,3.4
162,Arkansas,Monroe,42.5,31.0,46.0,35.2,43.9,36.1,3.5,4.1
163,Arkansas,Montgomery,46.1,40.7,51.0,46.9,49.3,47.8,4.9,6.2
164,Arkansas,Nevada,47.8,37.7,48.9,40.2,47.1,41.1,1.1,2.5
165,Arkansas,Newton,49.7,40.1,51.1,48.1,49.7,49.3,1.4,8.1
166,Arkansas,Ouachita,50.4,36.2,51.4,42.1,47.3,43.2,1.0,5.9
167,Arkansas,Perry,50.0,40.8,53.5,44.5,51.6,45.8,3.5,3.7
168,Arkansas,Phillips,43.0,28.4,48.5,30.7,47.1,31.4,5.5,2.3
169,Arkansas,Pike,45.6,39.8,50.5,45.7,48.6,46.7,4.9,6.0
170,Arkansas,Poinsett,41.3,33.8,43.4,35.5,41.4,36.3,2.2,1.6
171,Arkansas,Polk,46.4,43.1,52.4,44.7,50.1,45.6,6.0,1.6
172,Arkansas,Pope,53.4,43.0,53.0,49.3,50.3,49.8,-0.4,6.3
173,Arkansas,Prairie,45.6,36.5,47.5,38.8,45.6,39.5,1.9,2.3
174,Arkansas,Pulaski,57.5,43.5,56.9,43.5,53.3,44.7,-0.5,0.0
175,Arkansas,Randolph,44.4,38.3,52.1,45.8,49.6,46.7,7.8,7.5
176,Arkansas,Saline,58.2,44.4,60.8,45.1,58.9,45.9,2.7,0.8
177,Arkansas,Scott,43.0,36.4,48.7,42.7,47.1,43.9,5.7,6.3
178,Arkansas,Searcy,46.6,37.1,46.6,45.0,44.7,45.7,-0.1,7.9
179,Arkansas,Sebastian,53.3,43.5,52.4,45.8,50.0,46.8,-0.9,2.3
180,Arkansas,Sevier,44.2,37.0,46.5,38.5,44.4,39.4,2.3,1.5
181,Arkansas,Sharp,49.1,41.5,53.2,49.9,51.4,51.5,4.1,8.5
182,Arkansas,St. Francis,44.8,32.6,48.5,37.4,46.1,38.5,3.7,4.8
183,Arkansas,Stone,46.9,38.9,52.1,46.9,50.3,48.0,5.2,8.0
184,Arkansas,Union,49.2,38.5,56.0,40.3,55.7,41.0,6.8,1.8
185,Arkansas,Van Buren,48.5,40.4,54.2,50.9,53.0,51.8,5.7,10.5
186,Arkansas,Washington,58.3,48.0,55.5,50.4,51.8,50.4,-2.8,2.4
187,Arkansas,White,48.2,42.4,52.6,43.9,49.8,44.9,4.4,1.5
188,Arkansas,Woodruff,40.7,33.7,46.1,35.6,44.3,36.6,5.4,2.0
189,Arkansas,Yell,44.0,36.2,45.5,44.0,43.1,45.9,1.4,7.8
190,California,,59.4,50.7,61.4,57.0,61.3,59.2,2.0,6.2
191,California,Alameda,60.8,56.5,65.4,62.2,64.2,63.6,4.5,5.7
192,California,Alpine,64.3,58.4,63.8,59.7,62.3,61.1,-0.5,1.2
193,California,Amador,59.5,55.6,60.6,54.4,59.4,55.3,1.1,-1.2
194,California,Butte,57.6,54.4,62.8,58.0,62.0,59.0,5.2,3.6
195,California,Calaveras,57.1,54.7,62.5,61.5,61.5,62.7,5.4,6.8
196,California,Colusa,50.9,44.5,54.6,50.0,51.7,51.8,3.8,5.5
197,California,Contra Costa,65.4,54.3,66.6,62.4,67.7,65.3,1.2,8.2
198,California,Del Norte,55.8,50.7,58.4,55.4,57.1,56.9,2.6,4.7
199,California,El Dorado,69.0,60.3,66.6,61.5,64.7,62.7,-2.3,1.1
200,California,Fresno,54.8,48.5,56.2,53.5,54.4,54.9,1.4,5.1
201,California,Glenn,51.1,46.6,57.3,51.8,55.6,53.4,6.2,5.2
202,California,Humboldt,62.5,57.3,66.2,61.5,65.2,62.7,3.7,4.2
203,California,Imperial,52.4,40.2,48.8,43.7,46.1,45.2,-3.7,3.5
204,California,Inyo,58.0,52.1,59.1,56.4,57.7,57.6,1.2,4.3
205,California,Kern,55.1,44.8,54.1,50.8,53.8,52.7,-1.0,6.1
206,California,Kings,57.5,46.5,52.3,51.9,49.6,53.6,-5.2,5.4
207,California,Lake,56.5,53.3,62.9,57.6,60.8,58.8,6.3,4.3
208,California,Lassen,57.2,52.0,60.6,54.2,59.5,55.8,3.4,2.3
209,California,Los Angeles,56.0,44.4,59.0,52.7,59.5,55.5,3.0,8.2
210,California,Madera,49.5,41.0,53.7,50.3,53.3,52.1,4.2,9.3
211,California,Marin,69.9,66.8,69.7,73.0,70.1,74.2,-0.2,6.2
212,California,Mariposa,56.6,49.3,61.4,60.7,59.4,62.0,4.8,11.4
213,California,Mendocino,59.7,55.5,63.6,59.1,62.9,60.4,3.9,3.6
214,California,Merced,50.3,39.1,54.0,48.7,53.1,50.6,3.7,9.6
215,California,Modoc,54.4,51.4,60.0,56.3,58.1,57.3,5.6,4.9
216,California,Mono,64.9,57.9,62.6,59.3,61.8,60.9,-2.3,1.4
217,California,Monterey,59.0,51.0,60.3,55.2,60.1,56.4,1.3,4.1
218,California,Napa,60.1,57.3,63.8,61.4,63.4,63.2,3.8,4.2
219,California,Nevada,67.0,61.9,71.3,63.7,71.9,65.2,4.3,1.8
220,California,Orange,61.4,53.5,63.7,60.3,63.4,61.9,2.3,6.8
221,California,Placer,70.1,60.8,69.5,63.8,68.9,65.0,-0.7,3.0
222,California,Plumas,60.6,59.5,65.1,63.0,63.7,64.2,4.4,3.5
223,California,Riverside,57.3,48.7,57.7,54.7,58.1,58.1,0.4,6.0
224,California,Sacramento,63.3,56.0,63.1,56.0,64.4,57.8,-0.2,0.0
225,California,San Benito,59.9,53.3,61.8,56.8,61.4,58.2,1.9,3.5
226,California,San Bernardino,56.5,45.8,57.6,52.4,58.3,55.3,1.2,6.6
227,California,San Diego,63.8,51.8,64.5,60.4,65.3,62.5,0.6,8.6
228,California,San Francisco,62.8,62.2,65.5,62.6,65.8,64.6,2.8,0.4
229,California,San Joaquin,53.6,47.8,56.9,55.3,55.3,57.1,3.3,7.5
230,California,San Luis Obispo,66.4,58.6,65.3,64.5,65.1,66.3,-1.1,5.9
231,California,San Mateo,63.5,61.7,67.9,63.5,67.6,64.6,4.3,1.9
232,California,Santa Barbara,62.7,57.8,61.8,58.6,61.9,61.0,-0.9,0.8
233,California,Santa Clara,63.7,56.6,65.4,62.3,63.6,64.6,1.6,5.6
234,California,Santa Cruz,61.2,55.4,63.1,63.3,62.6,65.4,1.9,7.9
235,California,Shasta,60.0,57.6,64.3,57.6,63.3,57.7,4.2,-0.1
236,California,Sierra,60.8,57.2,62.9,59.2,61.2,60.3,2.2,2.0
237,California,Siskiyou,61.5,58.5,64.1,62.4,62.3,63.7,2.6,3.9
238,California,Solano,64.6,58.2,63.3,59.5,62.0,60.9,-1.2,1.3
239,California,Sonoma,63.3,60.5,65.8,66.0,65.9,67.9,2.5,5.6
240,California,Stanislaus,50.2,40.0,57.3,53.1,56.9,54.9,7.1,13.0
241,California,Sutter,57.5,49.8,59.7,56.6,57.8,58.2,2.2,6.9
242,California,Tehama,54.2,50.7,60.9,56.8,60.3,58.2,6.6,6.0
243,California,Trinity,59.4,56.9,64.5,62.2,62.1,63.2,5.1,5.3
244,California,Tulare,50.4,43.2,53.0,51.1,51.5,53.1,2.5,7.9
245,California,Tuolumne,58.9,50.9,61.9,59.7,61.0,61.3,3.0,8.8
246,California,Ventura,60.9,57.0,62.0,56.6,61.8,58.8,1.1,-0.3
247,California,Yolo,61.1,55.0,64.7,62.1,64.1,64.6,3.5,7.2
248,California,Yuba,55.0,49.3,57.5,54.8,55.8,56.0,2.5,5.5
249,Colorado,,64.8,56.8,65.7,61.4,64.7,62.7,0.9,4.6
250,Colorado,Adams,66.5,57.2,66.5,61.4,64.0,62.6,0.0,4.2
251,Colorado,Alamosa,59.9,52.3,61.8,55.6,59.6,57.5,1.9,3.3
252,Colorado,Arapahoe,64.2,56.6,65.4,61.3,66.2,62.0,1.2,4.7
253,Colorado,Archuleta,62.3,54.7,66.2,61.2,65.8,62.2,3.9,6.5
254,Colorado,Baca,50.9,44.1,55.1,50.0,53.3,51.1,4.3,5.9
255,Colorado,Bent,54.1,45.5,53.6,47.2,51.8,48.0,-0.4,1.8
256,Colorado,Boulder,66.5,57.2,66.5,61.4,64.0,62.6,0.0,4.2
257,Colorado,Broomfield,66.5,57.2,66.5,61.4,64.0,62.6,0.0,4.2
258,Colorado,Chaffee,64.8,59.4,65.2,62.8,64.2,64.1,0.4,3.4
259,Colorado,Cheyenne,54.6,50.4,54.2,51.8,52.6,52.6,-0.4,1.3
260,Colorado,Clear Creek,67.8,59.0,69.9,64.7,68.2,65.6,2.0,5.7
261,Colorado,Conejos,54.5,45.7,60.6,53.7,58.9,54.8,6.0,8.0
262,Colorado,Costilla,52.8,45.8,56.9,49.5,54.9,50.1,4.1,3.7
263,Colorado,Crowley,48.2,44.4,45.4,41.8,44.1,42.7,-2.8,-2.6
264,Colorado,Custer,60.8,56.6,62.9,60.6,61.3,61.5,2.1,4.0
265,Colorado,Delta,58.3,49.6,64.5,59.6,65.1,60.7,6.2,10.0
266,Colorado,Denver,61.4,52.7,64.7,60.5,64.9,62.3,3.2,7.8
267,Colorado,Dolores,56.3,50.8,61.6,57.5,59.6,58.9,5.2,6.7
268,Colorado,Douglas,69.8,65.6,71.5,66.9,70.8,66.7,1.7,1.3
269,Colorado,Eagle,68.3,61.7,70.5,68.6,70.3,69.6,2.2,7.0
270,Colorado,El Paso,66.3,58.9,64.3,61.7,62.9,63.7,-2.0,2.7
271,Colorado,Elbert,62.6,61.3,62.5,65.2,59.2,66.2,-0.1,3.9
272,Colorado,Fremont,59.5,49.6,60.6,57.2,60.5,58.0,1.2,7.6
273,Colorado,Garfield,64.1,59.4,64.8,64.3,65.7,64.8,0.7,4.9
274,Colorado,Gilpin,68.0,60.7,68.6,63.0,67.1,63.9,0.6,2.3
275,Colorado,Grand,68.8,61.6,71.8,66.3,71.4,67.1,3.0,4.6
276,Colorado,Gunnison,67.2,62.4,65.8,66.2,64.9,67.3,-1.4,3.7
277,Colorado,Hinsdale,64.7,59.9,64.2,63.0,62.6,64.4,-0.5,3.1
278,Colorado,Huerfano,55.7,49.0,57.1,50.1,55.7,51.4,1.4,1.1
279,Colorado,Jackson,63.0,56.3,64.3,61.3,62.2,62.5,1.3,5.0
280,Colorado,Jefferson,66.5,57.2,66.5,61.4,64.0,62.6,0.0,4.2
281,Colorado,Kiowa,56.1,51.1,59.3,56.3,57.9,57.3,3.2,5.3
282,Colorado,Kit Carson,51.7,44.3,55.0,49.8,52.8,51.0,3.2,5.5
283,Colorado,La Plata,67.7,61.9,70.6,66.0,71.9,67.3,3.0,4.0
284,Colorado,Lake,64.2,56.2,62.4,60.3,60.2,61.2,-1.8,4.2
285,Colorado,Larimer,68.8,61.0,67.8,65.4,66.9,67.3,-1.0,4.3
286,Colorado,Las Animas,55.5,48.7,60.0,52.0,59.4,53.8,4.5,3.3
287,Colorado,Lincoln,53.3,48.4,51.8,49.7,50.2,50.9,-1.5,1.3
288,Colorado,Logan,56.3,47.9,58.0,58.0,55.9,58.9,1.7,10.2
289,Colorado,Mesa,64.7,55.6,68.1,60.2,69.1,61.3,3.5,4.6
290,Colorado,Mineral,61.8,57.4,65.3,62.0,63.8,63.5,3.5,4.6
291,Colorado,Moffat,59.5,50.1,55.1,58.2,51.7,59.5,-4.5,8.1
292,Colorado,Montezuma,62.3,55.2,61.2,58.8,58.1,59.7,-1.1,3.6
293,Colorado,Montrose,58.7,51.7,62.1,58.5,61.4,60.1,3.5,6.8
294,Colorado,Morgan,52.5,42.9,56.6,57.0,56.0,59.1,4.1,14.1
295,Colorado,Otero,53.7,46.1,57.1,50.3,56.3,51.8,3.3,4.2
296,Colorado,Ouray,64.2,60.2,66.0,64.5,64.5,65.2,1.8,4.3
297,Colorado,Park,66.4,59.2,68.6,63.4,67.8,63.6,2.2,4.2
298,Colorado,Phillips,53.9,44.8,57.2,55.6,55.8,56.6,3.3,10.9
299,Colorado,Pitkin,70.9,67.4,69.4,71.2,68.9,72.4,-1.5,3.8
300,Colorado,Prowers,51.5,40.9,53.9,49.5,52.8,50.7,2.4,8.5
301,Colorado,Pueblo,59.4,50.4,63.5,53.7,65.0,54.9,4.1,3.3
302,Colorado,Rio Blanco,62.5,59.8,63.4,68.2,61.6,68.8,0.9,8.4
303,Colorado,Rio Grande,56.6,49.6,59.8,56.2,58.1,57.3,3.2,6.6
304,Colorado,Routt,69.7,63.8,72.6,73.1,72.9,74.7,2.9,9.3
305,Colorado,Saguache,50.4,46.0,55.4,53.0,52.1,53.3,5.1,7.0
306,Colorado,San Juan,65.7,60.7,62.1,60.3,59.5,60.8,-3.6,-0.4
307,Colorado,San Miguel,65.1,61.5,67.5,62.5,65.8,63.4,2.4,1.0
308,Colorado,Sedgwick,49.8,46.3,55.2,54.4,54.0,55.6,5.4,8.1
309,Colorado,Summit,71.1,60.7,72.9,66.3,72.7,67.7,1.8,5.7
310,Colorado,Teller,66.1,61.2,67.0,62.1,65.6,63.0,0.9,0.9
